calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2001Q2,3,Chikwawa,25-29,0.24265182663836282,0.22420617772088267,0.26170510701423394
CY2001Q2,3,Chikwawa,30-34,0.2162152294597125,0.1972682754294301,0.2358104810803478
CY2001Q2,3,Chikwawa,35-39,0.17899176230745548,0.1603028196643298,0.19834263978934275
CY2001Q2,3,Chikwawa,40-44,0.12196253274926833,0.10479378651405319,0.14039310901172775
CY2001Q2,3,Chikwawa,45-49,0.05475718925698096,0.04244741836318564,0.06809129340358291
CY2002Q2,3,Chikwawa,15-19,0.1562189641892392,0.1437862713681253,0.1689484425779791
CY2002Q2,3,Chikwawa,20-24,0.2432829524828925,0.22710799138828092,0.26018368772424477
CY2002Q2,3,Chikwawa,25-29,0.2278596622984111,0.2112766782540528,0.24523726910156088
CY2002Q2,3,Chikwawa,30-34,0.20511969175600436,0.187694803475032,0.2237187656347067
CY2002Q2,3,Chikwawa,35-39,0.17064933752055522,0.1529135291002097,0.18849952343524032
CY2002Q2,3,Chikwawa,40-44,0.11541274561471734,0.09873481744656258,0.1329380561950033
CY2002Q2,3,Chikwawa,45-49,0.051215576036230975,0.039736874379496,0.06405444578413814
CY2003Q2,3,Chikwawa,15-19,0.192476658790377,0.17799341232847438,0.20725855212767957
CY2003Q2,3,Chikwawa,20-24,0.2978383508687764,0.2790003433433873,0.31756797949441673
CY2003Q2,3,Chikwawa,25-29,0.2746745790948135,0.2549228840639047,0.29479561806118476
CY2003Q2,3,Chikwawa,30-34,0.24468574620887307,0.22437189704692825,0.26567960127785056
CY2003Q2,3,Chikwawa,35-39,0.20113927410578353,0.18141078164388802,0.22166865253641888
CY2003Q2,3,Chikwawa,40-44,0.13279249837459267,0.11465743007644716,0.15264404232054815
CY2003Q2,3,Chikwawa,45-49,0.058466710705444,0.045444580701735335,0.07293935416062797
CY2004Q2,3,Chikwawa,15-19,0.193081117377377,0.17825927262531127,0.20822144774678325
CY2004Q2,3,Chikwawa,20-24,0.29735005900275213,0.27822047224083163,0.317537912550449
CY2004Q2,3,Chikwawa,25-29,0.2805006981178223,0.260596781875185,0.3017336037557665
CY2004Q2,3,Chikwawa,30-34,0.25267319042932757,0.2317569950940339,0.2746334626547555
CY2004Q2,3,Chikwawa,35-39,0.20916308627579439,0.18868782609453866,0.23030236239908214
CY2004Q2,3,Chikwawa,40-44,0.13569153536481793,0.11711502546275522,0.1555327866060501
CY2004Q2,3,Chikwawa,45-49,0.058854349021492,0.045947437607381326,0.07347150210389754
CY2005Q2,3,Chikwawa,15-19,0.1813008904122711,0.16710020188071642,0.1954428033111232
CY2005Q2,3,Chikwawa,20-24,0.27646578142924927,0.2583141753956329,0.2952829166723216
CY2005Q2,3,Chikwawa,25-29,0.258188004090674,0.23922910357358954,0.27723957371458685
CY2005Q2,3,Chikwawa,30-34,0.23190263691111646,0.21256590562742628,0.25221343863646517
CY2005Q2,3,Chikwawa,35-39,0.19188041562436903,0.173357393746404,0.21173526173322235
